city,country,lat,long
Palma de Mallorca,Spain,39.57162,2.650544
Barcelona,Spain,41.39021,2.154007
Valencia,Spain,39.46667,-.375
Alicante,Spain,38.34517,-.48149
Murcia,Spain,37.98704,-1.13004
Cartagena,Spain,37.60512,-.98623
Granada,Spain,37.18817,-3.60667
Madrid,Spain,40.41677,-3.70379
Paris,France,48.86472,2.349014
London,UK,51.50986,-.118092
Brussels,Belgium,50.85045,4.34878
Antwerp,Belgium,51.2602,4.402771
Amsterdam,Netherlands,52.37796,4.89707
Rotterdam,Netherlands,51.90545,4.466637
Eindhoven,Netherlands,51.44083,5.47778
Utrecht,Netherlands,52.09288,5.10448
Berlin,Germany,52.52,13.405
Dresden,Germany,51.05041,13.73726
Munich,Germany,48.13715,11.57612
Stuttgart,Germany,48.78232,9.17702
Cologne,Germany,50.94136,6.958307
Düsseldorf,Germany,51.22172,6.77616
Copenhagen,Denmark,55.6761,12.56834
Prague,Czechia,50.07366,14.41854
Vienna,Austria,48.21003,16.36345
Budapest,Hungary,47.49791,19.04024
Venice,Italy,45.43876,12.32714
Milan,Italy,45.46466,9.18854
Rome,Italy,41.90278,12.49637
Bologna,Italy,44.49895,11.32759
Florence,Italy,43.76956,11.25581
Ponta Delgada,Portugal,37.736439,-25.672649
Funchal,Portugal,32.666931,-16.924055
Lisbon,Portugal,38.722252,-9.139337
Porto,Portugal,41.157944,-8.629105
Santa Cruz de Tenerife,Spain,28.250732,-16.591541
Las Palmas de Gran Canaria,Spain,27.853951,-15.552858
Andorra la Vella,Andorra,42.536607,1.573801
Sevilla,Spain,37.477991,-5.996439
Gibraltar,United Kingdom,36.076158,-5.351899
Málaga,Spain,36.623519,-4.441207
Cluj-Napoca,Romania,46.77,23.59
Skopje,North Macedonia,41.964149,21.422041
Tirana,Albania,41.317174,19.808155
Frankfurt am Main,Germany,49.967730,8.662703
Rome,Italy,41.858247,12.478490
Oxford,United Kingdom,51.754001,-1.244082
Rovaniemi,Finland,66.519810,25.703246
Helsinki,Finland,60.17083,24.93750
Umea,Sweden,63.785652,20.268058
Warsaw,Poland,52.150871,20.996605
Kraków,Poland,49.902817,19.978323
Istanbul,Turkey,41.117383,29.013432
Ljubljana,Slovenia,46.035348,14.494751
Monaco,Monaco,43.601838,7.497373
Nantes,France,47.168331,-1.614873
Coimbra,Portugal,40.330646,-8.455345
Braga,Portugal,41.574714,-8.452180
Aveiro,Portugal,40.631803,-8.647722
Cádiz,Spain,36.427740,-6.335306
Santander,Spain,43.374266,-3.874386
San Remo,Italy,43.814297,7.777866
Verona,Italy,45.339688,10.977127
Ohrid,North Macedonia,41.096494,20.812795
Mannheim,Germany,49.298878,8.399245
Heidelberg,Germany,49.378866,8.688751
Würzburg,Germany,49.777786,9.907243
Cochem,Germany,50.1469,7.1667
